rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.60625,0.0,0.6163463041100172,0.0,0.05891990661621094,0.0,0.0020418167114257812,0.0,5,1,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.60625,0.6163463041100172
2,0.6025,0.0,0.6122831692451945,0.0,0.04741549491882324,0.0,0.0027322769165039062,0.0,5,1,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.6025,0.6122831692451945
3,0.59875,0.0,0.608220034380372,0.0,0.04065442085266113,0.0,0.00804591178894043,0.0,5,1,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.59875,0.608220034380372
4,0.551875,0.0,0.5553992811376778,0.0,0.04876065254211426,0.0,0.0,0.0,4,30,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.551875,0.5553992811376778
4,0.551875,0.0,0.5553992811376778,0.0,0.03273200988769531,0.0,0.0,0.0,4,30,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.551875,0.5553992811376778
4,0.551875,0.0,0.5553992811376778,0.0,0.0386500358581543,0.0,0.0037689208984375,0.0,4,30,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.551875,0.5553992811376778
7,0.549375,0.0,0.5750898577902798,0.0,0.06226205825805664,0.0,0.007068157196044922,0.0,9,1,2,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.549375,0.5750898577902798
8,0.5425,0.0,0.5649320206282231,0.0,0.06122326850891113,0.0,0.0040073394775390625,0.0,7,1,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.5425,0.5649320206282231
9,0.538125,0.0,0.540084388185654,0.0,0.04061317443847656,0.0,0.0,0.0,4,100,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.538125,0.540084388185654
9,0.538125,0.0,0.540084388185654,0.0,0.03386998176574707,0.0,0.006609439849853516,0.0,4,100,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.538125,0.540084388185654
9,0.538125,0.0,0.540084388185654,0.0,0.035816192626953125,0.0,0.004011392593383789,0.0,4,100,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.538125,0.540084388185654
12,0.535625,0.0,0.5527426160337553,0.0,0.04486370086669922,0.0,0.010173559188842773,0.0,7,1,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.535625,0.5527426160337553
13,0.525,0.0,0.5432098765432098,0.0,0.07625031471252441,0.0,0.0020439624786376953,0.0,7,1,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.525,0.5432098765432098
14,0.524375,0.0,0.5472730114080325,0.0,0.06475424766540527,0.0,0.0004973411560058594,0.0,9,1,30,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.524375,0.5472730114080325
15,0.515,0.0,0.5552430067198,0.0,0.07336020469665527,0.0,0.029163837432861328,0.0,10,1,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.515,0.5552430067198
16,0.493125,0.0,0.5130489138927957,0.0,0.062463998794555664,0.0,0.008681774139404297,0.0,9,1,100,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.493125,0.5130489138927957
17,0.488125,0.0,0.5182059696827629,0.0,0.05553746223449707,0.0,0.004012107849121094,0.0,6,1,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.488125,0.5182059696827629
18,0.48375,0.0,0.5152367557430848,0.0,0.06511664390563965,0.0,0.009985208511352539,0.0,10,1,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.48375,0.5152367557430848
19,0.483125,0.0,0.5033598999843726,0.0,0.04366874694824219,0.0,0.004485368728637695,0.0,3,30,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.483125,0.5033598999843726
19,0.483125,0.0,0.5033598999843726,0.0,0.030272483825683594,0.0,0.0,0.0,3,30,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.483125,0.5033598999843726
19,0.483125,0.0,0.5033598999843726,0.0,0.04386019706726074,0.0,0.010091781616210938,0.0,3,30,100,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.483125,0.5033598999843726
22,0.4825,0.0,0.5094546022816066,0.0,0.04825329780578613,0.0,0.004011392593383789,0.0,6,1,30,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.4825,0.5094546022816066
23,0.480625,0.0,0.49804656977652756,0.0,0.03168940544128418,0.0,0.0,0.0,3,1,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.480625,0.49804656977652756
24,0.478125,0.0,0.4961712767619941,0.0,0.03566861152648926,0.0,0.004000425338745117,0.0,3,1,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.478125,0.4961712767619941
24,0.478125,0.0,0.4961712767619941,0.0,0.03168940544128418,0.0,0.0,0.0,3,1,100,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.478125,0.4961712767619941
26,0.476875,0.0,0.4955461790904829,0.0,0.030272483825683594,0.0,0.0101470947265625,0.0,3,100,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.476875,0.4955461790904829
26,0.476875,0.0,0.4955461790904829,0.0,0.029446840286254883,0.0,0.005352497100830078,0.0,3,100,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.476875,0.4955461790904829
26,0.476875,0.0,0.4955461790904829,0.0,0.03083658218383789,0.0,0.0,0.0,3,100,100,"{'model__max_depth': 3, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.476875,0.4955461790904829
29,0.473125,0.0,0.5016408813877168,0.0,0.05141568183898926,0.0,0.004585742950439453,0.0,6,1,100,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.473125,0.5016408813877168
30,0.445625,0.0,0.46772933270823563,0.0,0.07560133934020996,0.0,0.003953218460083008,0.0,10,1,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.445625,0.46772933270823563
31,0.43625,0.0,0.44975777465228944,0.0,0.036092519760131836,0.0,0.002053499221801758,0.0,4,1,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.43625,0.44975777465228944
32,0.43375,0.0,0.4472573839662447,0.0,0.04189872741699219,0.0,0.004743814468383789,0.0,4,1,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.43375,0.4472573839662447
32,0.43375,0.0,0.4472573839662447,0.0,0.0424189567565918,0.0,0.0048198699951171875,0.0,4,1,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.43375,0.4472573839662447
34,0.42875,0.0,0.450070323488045,0.0,0.05966520309448242,0.0,0.00816202163696289,0.0,7,30,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.42875,0.450070323488045
34,0.42875,0.0,0.450070323488045,0.0,0.05863690376281738,0.0,0.0,0.0,7,30,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.42875,0.450070323488045
36,0.42125,0.0,0.45600875136740116,0.0,0.061206817626953125,0.0,0.008007526397705078,0.0,8,1,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.42125,0.45600875136740116
37,0.41625,0.0,0.4353805282075324,0.0,0.05908060073852539,0.0,0.001543283462524414,0.0,7,30,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.41625,0.4353805282075324
38,0.4125,0.0,0.43959993749023285,0.0,0.08354687690734863,0.0,0.002035856246948242,0.0,8,1,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.4125,0.43959993749023285
39,0.41125,0.0,0.4233473980309424,0.0,0.05482125282287598,0.0,0.005377769470214844,0.0,10,100,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.41125,0.4233473980309424
39,0.41125,0.0,0.4233473980309424,0.0,0.045633792877197266,0.0,0.004603862762451172,0.0,10,100,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.41125,0.4233473980309424
39,0.41125,0.0,0.4233473980309424,0.0,0.05423283576965332,0.0,0.002230405807495117,0.0,10,100,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.41125,0.4233473980309424
42,0.40375,0.0,0.45382090951711207,0.0,0.08364725112915039,0.0,0.0,0.0,10,30,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.40375,0.45382090951711207
42,0.40375,0.0,0.45382090951711207,0.0,0.07565903663635254,0.0,0.007489442825317383,0.0,10,30,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.40375,0.45382090951711207
44,0.3943749999999999,0.0,0.42522269104547583,0.0,0.06073451042175293,0.0,0.002029895782470703,0.0,9,30,2,"{'model__max_depth': 9, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.3943749999999999,0.42522269104547583
44,0.3943749999999999,0.0,0.42522269104547583,0.0,0.05836200714111328,0.0,0.0,0.0,9,30,30,"{'model__max_depth': 9, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.3943749999999999,0.42522269104547583
46,0.3925,0.0,0.4074074074074074,0.0,0.051673173904418945,0.0,0.0050466060638427734,0.0,7,100,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.3925,0.4074074074074074
46,0.3925,0.0,0.4074074074074074,0.0,0.05620932579040527,0.0,0.007204532623291016,0.0,7,100,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.3925,0.4074074074074074
46,0.3925,0.0,0.4074074074074074,0.0,0.04272913932800293,0.0,0.00803995132446289,0.0,7,100,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.3925,0.4074074074074074
49,0.3875,0.0,0.4156899515549304,0.0,0.06298303604125977,0.0,0.0004973411560058594,0.0,8,1,100,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.3875,0.4156899515549304
50,0.378125,0.0,0.4047507423034849,0.0,0.07223677635192871,0.0,0.03088212013244629,0.0,9,30,100,"{'model__max_depth': 9, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.378125,0.4047507423034849
51,0.37625,0.0,0.392561337709017,0.0,0.05120038986206055,0.0,0.008559226989746094,0.0,9,100,2,"{'model__max_depth': 9, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.37625,0.392561337709017
51,0.37625,0.0,0.392561337709017,0.0,0.05297732353210449,0.0,0.0009708404541015625,0.0,9,100,30,"{'model__max_depth': 9, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.37625,0.392561337709017
51,0.37625,0.0,0.392561337709017,0.0,0.06205439567565918,0.0,0.0,0.0,9,100,100,"{'model__max_depth': 9, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.37625,0.392561337709017
54,0.3725,0.0,0.41365838412251915,0.0,0.06347870826721191,0.0,0.0005018711090087891,0.0,10,30,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.3725,0.41365838412251915
55,0.36687500000000006,0.0,0.3852164400687607,0.0,0.05056118965148926,0.0,0.005007505416870117,0.0,8,100,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.36687500000000006,0.3852164400687607
55,0.36687500000000006,0.0,0.3852164400687607,0.0,0.04828310012817383,0.0,0.0,0.0,8,100,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.36687500000000006,0.3852164400687607
55,0.36687500000000006,0.0,0.3852164400687607,0.0,0.051700592041015625,0.0,0.0,0.0,8,100,100,"{'model__max_depth': 8, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.36687500000000006,0.3852164400687607
58,0.3637500000000001,0.0,0.3989685888420066,0.0,0.07743597030639648,0.0,0.008007526397705078,0.0,8,30,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.3637500000000001,0.3989685888420066
58,0.3637500000000001,0.0,0.3989685888420066,0.0,0.06758761405944824,0.0,0.00602269172668457,0.0,8,30,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.3637500000000001,0.3989685888420066
60,0.35687500000000005,0.0,0.38834192842631654,0.0,0.05416250228881836,0.0,0.004707813262939453,0.0,6,30,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.35687500000000005,0.38834192842631654
60,0.35687500000000005,0.0,0.38834192842631654,0.0,0.06351327896118164,0.0,0.0035445690155029297,0.0,6,30,30,"{'model__max_depth': 6, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.35687500000000005,0.38834192842631654
62,0.351875,0.0,0.3814658540396937,0.0,0.051120758056640625,0.0,0.012791872024536133,0.0,6,30,100,"{'model__max_depth': 6, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.351875,0.3814658540396937
63,0.3475,0.0,0.3784966401000156,0.0,0.0668478012084961,0.0,0.0,0.0,8,30,100,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.3475,0.3784966401000156
64,0.334375,0.0,0.36083763087982496,0.0,0.05500340461730957,0.0,0.006751298904418945,0.0,5,30,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.334375,0.36083763087982496
65,0.33375,0.0,0.3611501797155805,0.0,0.0548551082611084,0.0,0.0039653778076171875,0.0,5,30,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.33375,0.3611501797155805
65,0.33375,0.0,0.3611501797155805,0.0,0.04493141174316406,0.0,0.0020418167114257812,0.0,5,30,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.33375,0.3611501797155805
67,0.32,0.0,0.34474136583841225,0.0,0.05076909065246582,0.0,0.0020341873168945312,0.0,6,100,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.32,0.34474136583841225
67,0.32,0.0,0.34474136583841225,0.0,0.04698681831359863,0.0,0.007473468780517578,0.0,6,100,30,"{'model__max_depth': 6, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.32,0.34474136583841225
67,0.32,0.0,0.34474136583841225,0.0,0.04884076118469238,0.0,0.0020439624786376953,0.0,6,100,100,"{'model__max_depth': 6, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.32,0.34474136583841225
70,0.29,0.0,0.3083294264728864,0.0,0.04061317443847656,0.0,0.0,0.0,5,100,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.29,0.3083294264728864
70,0.29,0.0,0.3083294264728864,0.0,0.04691433906555176,0.0,0.0032334327697753906,0.0,5,100,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.29,0.3083294264728864
70,0.29,0.0,0.3083294264728864,0.0,0.042896270751953125,0.0,0.0005009174346923828,0.0,5,100,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.29,0.3083294264728864
73,0.034375,0.0,0.0379746835443038,0.0,0.02002429962158203,0.0,0.0,0.0,1,1,2,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.02205967903137207,0.0,0.002571582794189453,0.0,1,1,30,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.017783164978027344,0.0,0.007605075836181641,0.0,1,1,100,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.012392997741699219,0.0,0.006040811538696289,0.0,1,30,2,"{'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.0187532901763916,0.0,0.0,0.0,1,30,30,"{'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.020259618759155273,0.0,0.003294706344604492,0.0,1,30,100,"{'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.018282175064086914,0.0,0.0,0.0,1,100,2,"{'model__max_depth': 1, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.019916296005249023,0.0,0.0034165382385253906,0.0,1,100,30,"{'model__max_depth': 1, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.021258831024169922,0.0,0.0036461353302001953,0.0,1,100,100,"{'model__max_depth': 1, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.034375,0.0379746835443038
82,0.0325,0.0,0.034536646350992344,0.0,0.028590917587280273,0.0,0.003265857696533203,0.0,2,1,2,"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.0325,0.034536646350992344
82,0.0325,0.0,0.034536646350992344,0.0,0.0268247127532959,0.0,0.005525112152099609,0.0,2,1,30,"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.0325,0.034536646350992344
82,0.0325,0.0,0.034536646350992344,0.0,0.02595663070678711,0.0,0.003633737564086914,0.0,2,1,100,"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.0325,0.034536646350992344
85,0.03125,0.0,0.033911548679481165,0.0,0.02349996566772461,0.0,0.00964498519897461,0.0,2,30,2,"{'model__max_depth': 2, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.02660536766052246,0.0,0.0020399093627929688,0.0,2,30,30,"{'model__max_depth': 2, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.022037982940673828,0.0,0.006040811538696289,0.0,2,30,100,"{'model__max_depth': 2, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.02046823501586914,0.0,0.0,0.0,2,100,2,"{'model__max_depth': 2, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.028166770935058594,0.0,0.0,0.0,2,100,30,"{'model__max_depth': 2, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.03030085563659668,0.0,0.004009246826171875,0.0,2,100,100,"{'model__max_depth': 2, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.03125,0.033911548679481165
